"","reason","nsnp"
"419","Breast cancer (male) (NA)",2
"420","Breast cancer (NA)",82
"421","Breast cancer (survival) (ER -ve) (NA)",1
"422","Breast cancer (survival) (NA)",1
"423","Breast size (cup size increase)",6
"424","Bronchodilator response in asthma (inhaled corticosteroid treatment interaction) (NA)",3
"425","Bronchodilator response in asthma (unit increase)",1
"426","Brugada syndrome (NA)",3
"427","B-type natriuretic peptide (unit increase)",2
"428","Butyrylcholinesterase levels (SD increase)",3
"429","C4b binding protein levels (NA)",1
"430","Caffeine consumption (mg/day increase)",2
"431","Calcium levels (unit increase) (unit increase)",10
"432","Cardiac hypertrophy (additive, recessive) (NA)",1
"433","Cardiac muscle measurement (Relative wall thickness) (NA)",1
"434","Cardiac repolarization (ms increase) (ms increase)",1
"435","Cardiac structure and function (LV internal diastolic dimensions) (cm increase)",1
"436","Cardiac Troponin-T levels (ug/L increase) (ug/L increase)",1
"437","Cardiovascular disease risk factors (mg/l increase) (mg/l increase)",1
"438","Cardiovascular disease risk factors (mmol/l increase) (HDL) (mmol/l increase)",2
"439","Cardiovascular disease risk factors (mmol/l increase) (LDL) (mmol/l increase)",4
"440","Cardiovascular disease risk factors (mmol/l increase) (TRIG) (mmol/l increase)",3
"441","Cardiovascular disease risk factors (% SD increase) (HDL-cholesterol) (% SD increase)",1
"442","Cardiovascular disease risk factors (% SD increase) (LDL-cholesterol) (% SD increase)",1
"443","Cardiovascular disease risk factors (umol/l increase) (umol/l increase)",4
"444","Cardiovascular disease risk factors (units/l increase) (BCHE) (units/l increase)",1
"445","Cardiovascular disease risk factors (units/l increase) (GGT) (units/l increase)",1
"446","Cardiovascular heart disease in diabetics (NA)",1
"447","Carotenoid and tocopherol levels (alpha-tocopherol) (umol/L increase)",1
"448","Carotenoid and tocopherol levels (beta-carotene) (umol/L increase)",1
"449","Carotid atherosclerosis in HIV infection (common cIMT) (NA)",1
"450","Carotid intima media thickness (unit increase) (cIMT) (unit increase)",3
"451","Carotid intima media thickness (unit increase) (Plaque) (unit increase)",2
"452","CD4:CD8 lymphocyte ratio (CD4:CD8) (SD increase)",1
"453","Celiac disease (NA)",33
"454","Celiac disease or Rheumatoid arthritis (NA)",11
"455","Central corneal thickness (SD increase) (SD increase)",2
"456","Central corneal thickness (unit increase) (unit increase)",6
"457","Cerebral amyloid angiopathy (unit increase)",1
"458","Cerebrospinal AB1-42 levels (Controls) (NA)",1
"459","Cerebrospinal AB1-42 levels in Alzheimer's disease dementia (unit increase)",2
"460","Cerebrospinal fluid levels of Alzheimer's disease-related proteins (Angiotensin-converting enzyme) (NA)",1
"461","Cerebrospinal fluid levels of Alzheimer's disease-related proteins (Interleukin-6 receptor) (NA)",1
"462","Cerebrospinal fluid levels of Alzheimer's disease-related proteins (Macrophage Inflammatory protein-1 beta) (NA)",1
"463","Cerebrospinal fluid levels of Alzheimer's disease-related proteins (Matrix metalloproteinase-3) (NA)",1
"464","Cerebrospinal fluid levels of Alzheimer's disease-related proteins (Monocyte chemotactic protein 1) (NA)",1
"465","Cerebrospinal T-tau levels (Controls) (NA)",1
"466","Cervical artery dissection (NA)",2
"467","Cervical cancer (Matched) (NA)",3
"468","Cervical cancer (NA)",2
"469","Cervical cancer (Stringently Matched) (NA)",1
"470","Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide) (NA)",1
"471","Cholelithiasis-related traits in sickle cell anemia (unit increase)",1
"472","Cholesterol (mg/dl increase between hmz)",1
"473","Cholesterol, total (mg/dL increase) (mg/dL increase)",13
"474","Cholesterol, total (s.d. increase) (s.d. increase)",12
"475","Cholesterol, total (unit increase) (unit increase)",63
"476","Chronic bronchitis and chronic obstructive pulmonary disease (EA, COPDGene + GenKOLS) (NA)",1
"477","Chronic bronchitis and chronic obstructive pulmonary disease (EA) (NA)",1
"478","Chronic bronchitis and chronic obstructive pulmonary disease (NA)",2
"479","Chronic hepatitis B infection (NA)",13
"480","Chronic hepatitis C infection (NA)",7
"481","Chronic kidney disease and serum creatinine levels (NA)",1
"482","Chronic kidney disease (CKD) (NA)",1
"483","Chronic kidney disease (eGFRcrea) (NA)",4
"484","Chronic kidney disease (eGFRcys) (NA)",1
"485","Chronic kidney disease (ml/min/1.73 m2 increase) (eGFRcrea) (ml/min/1.73 m2 increase)",15
"486","Chronic kidney disease (ml/min/1.73 m2 increase) (eGFRcys) (ml/min/1.73 m2 increase)",1
"487","Chronic kidney disease (ml/min/1.73m^2 increase) (ml/min/1.73m^2 increase)",2
"488","Chronic kidney disease (ml/min/1.73m2 increase) (ml/min/1.73m2 increase)",1
"489","Chronic kidney disease (NA)",1
"490","Chronic lymphocytic leukemia \(0.66\) (NA)",1
"491","Chronic lymphocytic leukemia (NA)",29
"492","Chronic myeloid leukemia (NA)",1
"493","Chronic obstructive pulmonary disease (moderate to severe) (NA)",4
"494","Chronic obstructive pulmonary disease (NA)",8
"495","Chronic obstructive pulmonary disease-related biomarkers (CC16) (NA)",5
"496","Chronic obstructive pulmonary disease-related biomarkers (SP-D) (NA)",12
"497","Chronic obstructive pulmonary disease (severe) (NA)",5
"498","Circulating cell-free DNA (ug/ml increase)",1
"499","Circulating myeloperoxidase levels (plasma) (unit increase)",2
"500","Circulating myeloperoxidase levels (serum) (unit increase)",3
"501","Circulating vasoactive peptide levels (nmol/l increase) (nmol/l increase)",1
"502","Circulating vasoactive peptide levels (pmol/l increase) (pmol/l increase)",3
"503","Classic bladder exstrophy (NA)",1
"504","Cleft lip (NA)",2
"505","Clozapine-induced cytotoxicity (30x) (NA)",2
"506","Coagulation factor levels (lU/dL increase)",1
"507","Cocaine dependence (Symptom count) (NA)",1
"508","Coffee consumption (cups per day increase) (cups per day increase)",2
"509","Coffee consumption (cups per day) (unit increase)",5
"510","Coffee consumption (unit increase) (unit increase)",5
"511","Cognitive decline (age-related) (unit increase)",2
"512","Cognitive decline (NA)",1
"513","Cognitive decline (unit increase) (unit increase)",1
"514","Cognitive function (unit increase)",5
"515","Cold medicine related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS-TEN) with severe mucosal involvement (NA)",1
"516","Colorectal cancer (diet interaction) (Processed meat) (NA)",1
"517","Colorectal cancer (distal colon cancer) (NA)",1
"518","Colorectal cancer (East Asian) (NA)",10
"519","Colorectal cancer (NA)",29
"520","Colorectal cancer (rs10795668) (NA)",1
"521","Common traits (Other) (asparagus anosmia) (NA)",1
"522","Common traits (Other) (sneeze) (NA)",1
"523","Common traits (Other) (unit increase) (unit increase)",3
"524","Complement C3 and C4 levels (Serum level of C3) (g/L increase)",2
"525","Complement C3 and C4 levels (Serum level of C4) (g/L increase)",8
"526","Conduct disorder (symptom count) (unit increase)",3
"527","Congenital heart disease (ASD) (NA)",1
"528","Congenital heart malformation (NA)",2
"529","Congenital left-sided heart lesions (EA) (NA)",1
"530","Contrast sensitivity (unit increase)",1
"531","Corneal astigmatism (NA)",1
"532","Corneal curvature (unit increase) (unit increase)",8
"533","Corneal structure (NA)",1
"534","Corneal structure (unit increase) (unit increase)",26
"535","Coronary arterial lesions in patients with Kawasaki disease (NA)",1
"536","Coronary artery calcification (% increase) (% increase)",2
"537","Coronary artery calcification (unit increase) (unit increase)",1
"538","Coronary artery disease (NA)",12
"539","Coronary artery disease or ischemic stroke (NA)",13
"540","Coronary artery disease or large artery stroke (NA)",17
"541","Coronary heart disease (NA)",48
"542","Cortical structure (interaction) (NA)",1
"543","Cortical thickness (mm increase)",3
"544","Cotinine glucuronidation (unit increase)",11
"545","C-reactive protein (AA women) (NA)",1
"546","C-reactive protein and white blood cell count (10^3/ul increase) (10^3/ul increase)",3
"547","C-reactive protein and white blood cell count (mg/dl increase) (mg/dl increase)",6
"548","C-reactive protein (% increase) (% increase)",5
"549","C-reactive protein levels (unit increase)",20
"550","C-reactive protein (log mg/dl increase) (log mg/dl increase)",1
"551","C-reactive protein (mg/dl increase) (mg/dl increase)",6
"552","C-reactive protein (mg/l increase in log(CRP) level) (mg/l increase in log(CRP) level)",1
"553","C-reactive protein (unit increase) (AA women) (unit increase)",4
"554","C-reactive protein (unit increase) (HA women) (unit increase)",2
"555","C-reactive protein (unit increase) (unit increase)",7
"556","Creatine kinase in statin users (unit increase)",2
"557","Creatinine levels (% increase) (% increase)",4
"558","Creatinine levels (NA)",1
"559","Creutzfeldt-Jakob disease (NA)",1
"560","Creutzfeldt-Jakob disease (sporadic) (NA)",1
"561","Creutzfeldt-Jakob disease (variant) (NA)",3
"562","Crohn's disease and celiac disease (NA)",2
"563","Crohn's disease and psoriasis (same-effect analysis) (NA)",2
"564","Crohn's disease (NA)",156
"565","Crohn's disease-related phenotypes (CDC stricturing) (NA)",1
"566","Cutaneous lupus erythematosus (NA)",3
"567","Cutaneous nevi (log nevus count increase) (log nevus count increase)",2
"568","Cystatin C (NA)",1
"569","Cystic fibrosis-related diabetes (NA)",1
"570","Cystic fibrosis severity \(p.Phe508del/p.Phe508del only\) (NA)",1
"571","D-dimer levels (% increase)",3
"572","Dehydroepiandrosterone sulphate levels (u mol/L increase) (u mol/L increase)",2
"573","Dehydroepiandrosterone sulphate levels (umol/L increase) (umol/L increase)",6
"574","Dementia and core Alzheimer's disease neuropathologic changes (Primary) (unit increase)",1
"575","Dengue shock syndrome (NA)",2
"576","Dental caries (DMFS2) (NA)",1
"577","Dental caries (DMFS5max, DMFS5) (NA)",1
"578","Diabetes (gestational) (NA)",2
"579","Diabetic retinopathy (NA)",4
"580","Diastolic blood pressure (mm Hg increase) (mm Hg increase)",9
"581","Diastolic blood pressure (mmHg increase) (mmHg increase)",17
"582","Diastolic blood pressure (unit increase) (unit increase)",9
"583","Dietary macronutrient intake (% increase) (Fat) (% increase)",1
"584","Dietary macronutrient intake (% increase) (Protein) (% increase)",1
"585","Dietary macronutrient intake (percent increase) (Protein - model 2) (percent increase)",1
"586","Diffuse large B cell lymphoma (NA)",5
"587","Digestive system disease (Barrett's esophagus and esophageal adenocarcinoma combined) (NA)",3
"588","Digit length ratio (NA)",1
"589","Diisocyanate-induced asthma (NA)",1
"590","Dilated cardiomyopathy (NA)",2
"591","Disc degeneration (lumbar) (NA)",1
"592","Disc degeneration (lumbar) (unit increase) (unit increase)",3
"593","DNA methylation (parent-of-origin) (H19-ICR-CpG02) (NA)",1
"594","DNA methylation (parent-of-origin) (H19-ICR CpG 09-10) (NA)",1
"595","DNA methylation (parent-of-origin) (KvDMR 10-11-12) (NA)",1
"596","DNA methylation (parent-of-origin) (KvDMR 21) (NA)",1
"597","DNA methylation (parent-of-origin) (NESPAS CpG08_09) (NA)",1
"598","DNA methylation (variation) (H19-ICR) (NA)",1
"599","DNA methylation (variation) (KvDMR) (NA)",1
"600","DNA methylation (variation) (NESPAS-ICR) (NA)",1
"601","Drinking behavior (NA)",3
"602","Drug-induced liver injury (amoxicillin-clavulanate) (NA)",2
"603","Drug-induced liver injury (flucloxacillin) (B*5701 positive) (NA)",1
"604","Drug-induced liver injury (flucloxacillin) (NA)",1
"605","Drug-induced liver injury (NA)",1
"606","Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN) (NA)",3
"607","Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN) (NW-EA) (NA)",1
"608","Duodenal ulcer (NA)",1
"609","Dupuytren's disease (NA)",9
"610","Educational attainment (NA)",3
"611","Educational attainment (unit increase) (Edu Years) (unit increase)",4
"612","Educational attainment (unit increase) (unit increase)",3
"613","Ejection fraction in Tripanosoma cruzi seropositivity (NA)",1
"614","Electrocardiographic conduction measures (msec increase) (msec increase)",5
"615","Electrocardiographic traits (ms increase) (QTc interval) (ms increase)",1
"616","Electrocardiographic traits (% s.d. increase) (HR) (% s.d. increase)",1
"617","Electrocardiographic traits (% s.d. increase) (PR interval) (% s.d. increase)",3
"618","Electrocardiographic traits (% s.d. increase) (QRS complex) (% s.d. increase)",1
"619","Electrocardiographic traits (% s.d. increase) (QRS duration) (% s.d. increase)",2
"620","Electrocardiographic traits (% s.d. increase) (QT interval) (% s.d. increase)",4
"621","Electrocardiographic traits (unit increase) (PR) (unit increase)",1
"622","Electrocardiographic traits (unit increase) (QT) (unit increase)",1
"623","Electroencephalographic traits in alcoholism (unit increase)",1
"624","Elevated serum carcinoembryonic antigen levels (NA)",12
"625","Endometrial cancer (NA)",1
"626","Endometriosis (NA)",8
"627","Endothelial growth factor levels (HGF) (unit increase)",1
"628","Endothelial growth factor levels (sTie-2) (unit increase)",2
"629","End-stage coagulation (D-dimer) (unit increase)",1
"630","End-stage coagulation (Fibrin lag time) (unit increase)",1
"631","End-stage coagulation (FVII:C) (unit increase)",5
"632","End-stage coagulation (FVIII) (unit increase)",1
"633","End-stage coagulation (FXIII activity) (unit increase)",2
"634","End-stage coagulation (FXIIIA) (unit increase)",7
"635","End-stage coagulation (FXIIIB) (unit increase)",1
"636","End-stage coagulation (FX) (unit increase)",1
"637","End-stage coagulation (vWF) (unit increase)",2
"638","End-stage renal disease in Type 1 diabetics (NA)",1
"639","End-stage renal disease (non-diabetic) (NA)",1
"640","Enteric fever (NA)",1
"641","Entorhinal cortical volume (Alzheimer's disease interaction) (unit increase)",1
"642","Eosinophil counts (% standard unit increase)",5
"643","Eosinophilic esophagitis (NA)",7
"644","Eosinophilic esophagitis (pediatric) (NA)",2
"645","Epilepsy (All epilepsy) (NA)",2
"646","Epilepsy (generalized) (All GGE) (NA)",2
"647","Epilepsy (generalized) (GAE) (NA)",1
"648","Epilepsy (generalized) (JME) (NA)",1
"649","Epilepsy (GGE) (NA)",2
"650","Epilepsy (NA)",1
"651","Epirubicin-induced leukopenia (NA)",1
"652","Episodic memory (unit increase)",1
"653","Epithelial ovarian cancer (NA)",13
"654","Epstein-Barr virus immune response (EBNA-1) (Conditional on rs477515 - Quantitative) (unit increase)",1
"655","Epstein-Barr virus immune response (EBNA-1) (Quantitative) (unit increase)",1
"656","Erythrocyte sedimentation rate (unit increase)",5
"657","E-selectin levels (ng/ml increase)",1
"658","Esophageal cancer  (alcohol interaction) (NA)",1
"659","Esophageal cancer and gastric cancer (ESCC) (NA)",2
"660","Esophageal cancer and gastric cancer (Total gastric) (NA)",1
"661","Esophageal cancer (NA)",11
"662","Esophageal cancer (squamous cell) (NA)",7
"663","Esophageal squamous cell cancer (length of survival) (NA)",1
"664","Esophageal squamous cell carcinoma (NA)",5
"665","Essential tremor (NA)",1
"666","Estradiol plasma levels (breast cancer) (unit increase)",1
"667","Ewing sarcoma (NA)",3
"668","Exfoliation glaucoma or exfoliation syndrome (NA)",2
"669","Exhaled carbon monoxide levels (unit increase)",1
"670","Expressive vocabulary in infants (15-18 months) (unit increase)",1
"671","Exudative age-related macular degeneration (NA)",7
"672","Eye color (NA)",2
"673","Eye color traits (% increase) (% increase)",2
"674","Eye color traits (NA)",1
"675","Eye color (unit increase) (eye color) (unit increase)",4
"676","Eye color (unit increase) (Eye color) (unit increase)",1
"677","Facial morphology (mm increase)",1
"678","Facial pigmentation (unit increase)",3
"679","Factor VIII levels (unit increase)",1
"680","Factor VII levels (NA)",1
"681","Factor VII (NA)",1
"682","Fasting glucose-related traits (FPG) (NA)",15
"683","Fasting glucose-related traits (HOMA-B) (NA)",1
"684","Fasting glucose-related traits (HOMA-IR) (NA)",1
"685","Fasting glucose-related traits (interaction with BMI) (NA)",22
"686","Fasting insulin (interaction) (Carbohydrate) (NA)",1
"687","Fasting insulin-related traits (HOMA-IR) (NA)",2
"688","Fasting insulin-related traits (interaction with BMI) (NA)",10
"689","Fasting plasma glucose (0.04-0.09) mmol/L increase) (0.04-0.09) mmol/L increase)",1
"690","Fasting plasma glucose (mmol/l increase) (mmol/l increase)",4
"691","Fasting plasma glucose (NA)",1
"692","Fasting plasma glucose (tFPG) (NA)",1
"693","Fasting plasma glucose (unit increase) (unit increase)",14
"694","Fat body mass (Adjusted by Lean body mass) (unit increase)",1
"695","Fat body mass (unit increase)",1
"696","F-cell distribution (% variance) (% variance)",2
"697","Febrile seizures (MMR-related vs MMR-unrelated) (NA)",3
"698","Febrile seizures (MMR vaccine-related) (NA)",4
"699","Febrile seizures (MMR vaccine-unrelated) (NA)",2
"700","Febrile seizures (Overall) (NA)",4
"701","Fetal hemoglobin levels in sickle cell anemia (unit increase)",2
"702","Fetal hemoglobin levels (s.d. increase in HbF) (s.d. increase in HbF)",2
"703","Fetal hemoglobin levels (unit increase) (African) (unit increase)",2
"704","Fibrinogen (g/L increase) (g/L increase)",8
"705","Fibrinogen (mg/dl increase) (mg/dl increase)",3
"706","Fibrinogen (unit increase) (EA) (unit increase)",21
"707","Fibrinogen (unit increase) (unit increase)",1
"708","Folate pathway vitamin levels (ng/ml increase) (vitamin B6) (ng/ml increase)",1
"709","Folate pathway vitamin levels (pg/ml increase) (pg/ml increase)",1
"710","Folate pathway vitamin levels (unit increase) (plasma homocysteine) (unit increase)",1
"711","Folate pathway vitamin levels (unit increase) (Plasma homocysteine) (unit increase)",1
"712","Folate pathway vitamin levels (unit increase) (Plasma PLP) (unit increase)",1
"713","Folate pathway vitamin levels (unit increase) (Plasma Vitamin B12) (unit increase)",2
"714","Follicular lymphoma (CLL/SLL) (NA)",1
"715","Follicular lymphoma (FL) (NA)",1
"716","Follicular lymphoma (NA)",8
"717","Follicule stimulating hormone (NA)",1
"718","Follicule stimulating hormone (unit increase) (unit increase)",1
"719","Forced vital capacity (EA) (ml increase)",6
"720","Fractional exhaled nitric oxide (childhood) (EA) (unit increase)",2
"721","Fractional exhaled nitric oxide (childhood) (unit increase)",3
"722","Freckles (NA)",3
"723","Freckling (unit increase)",4
"724","Frontotemporal dementia (All Frontotemporal dementia) (NA)",1
"725","Fuchs's corneal dystrophy (NA)",1
"726","Gallstones (NA)",1
"727","Gamma gluatamyl transferase levels (unit increase)",4
"728","Gamma glutamyl transpeptidase (IU/L increase)",7
"729","Gastric cancer (NA)",2
"730","Gene methylation in lung tissue (NA)",1
"731","Glaucoma (AA, incident) (NA)",1
"732","Glaucoma (AA) (NA)",2
"733","Glaucoma (AA, prevalent) (NA)",2
"734","Glaucoma (exfoliation) (NA)",1
"735","Glaucoma (high intraocular pressure) (NA)",1
"736","Glaucoma (Hispanic, incident) (NA)",1
"737","Glaucoma (NA)",4
"738","Glaucoma (primary angle closure) (NA)",3
"739","Glaucoma (primary open-angle) (NA)",10
"740","Glaucoma (primary open-angle) (NPG) (NA)",1
"741","Glioma (high-grade) (NA)",5
"742","Glioma (NA)",8
"743","Glomerular filtration rate (3-measure model) (unit increase)",1
"744","Glomerular filtration rate (3-measure Model) (unit increase)",1
"745","Glomerular filtration rate (6-measure model) (unit increase)",1
"746","Glomerular filtration rate (6-measure Model) (unit increase)",1
"747","Glomerular filtration rate (unit increase)",1
"748","Glomerulosclerosis (NA)",1
"749","Glucose homeostasis traits (AIRg) (unit increase)",1
"750","Glycated hemoglobin levels (% increase) (% increase)",13
"751","Glycated hemoglobin levels (unit increase) (HbA1c, Malay) (unit increase)",1
"752","Glycated hemoglobin levels (unit increase) (unit increase)",10
"753","Glycemic traits (1-hPG) (mmol-1 increase)",4
"754","Glycemic traits (FPG) (mmol-1 increase)",2
"755","Glycemic traits (pregnancy) (1HPG) (unit increase)",1
"756","Glycemic traits (pregnancy) (2HPG) (unit increase)",1
"757","Glycemic traits (pregnancy) (FCP) (unit increase)",2
"758","Glycemic traits (pregnancy) (FPG) (unit increase)",3
"759","Gout (NA)",7
"760","Gout (unit increase) (unit increase)",2
"761","Graves' disease (NA)",21
"762","Hair color (hair color) (NA)",1
"763","Hair color (NA)",1
"764","Hair color (unit increase) (red hair) (unit increase)",2
"765","Hair color (unit increase) (unit increase)",6
"766","Hair morphology (NA)",1
"767","Hair morphology (% variance) (% variance)",1
"768","Handedness in dyslexia (SD increase)",1
"769","Haptoglobin levels (SFS family cohort)",1
"770","Hashimoto thyroiditis versus Graves' disease (NA)",1
"771","HbA2 levels (NA)",2
"772","HDL cholesterol (mg/dl increase) (mg/dl increase)",6
"773","HDL cholesterol (mg/dL increase) (mg/dL increase)",19
"774","HDL cholesterol (mmol/l increase) (mmol/l increase)",2
"775","HDL cholesterol (percentage SD increase) (percentage SD increase)",3
"776","HDL cholesterol (s.d. increase) (s.d. increase)",14
"777","HDL Cholesterol - Triglycerides (HDLC-TG) (unit increase)",8
"778","HDL cholesterol (unit increase) (AA) (unit increase)",5
"779","HDL cholesterol (unit increase) (unit increase)",76
"780","Head circumference (infant) (SD increase)",2
"781","Hearing function (unit increase) (unit increase)",1
"782","Heart failure (EA) (NA)",1
"783","Heart rate (unit increase) (Conditional on rs1015451, rs11154027) (unit increase)",1
"784","Heart rate (unit increase) (Conditional on rs1015451, rs17083533) (unit increase)",1
"785","Heart rate (unit increase) (Conditonal on rs11118555) (unit increase)",1
"786","Heart rate (unit increase) (unit increase)",20
"787","Height adjusted BMI (unit increase)",2
"788","Height (cm increase) (cm increase)",15
"789","Height (Conditiond on rs2780226) (NA)",1
"790","Height (Conditioned on rs11107116) (NA)",1
"791","Height (Conditioned on rs1173727) (NA)",1
"792","Height (Conditioned on rs12153391) (NA)",1
"793","Height (Conditioned on rs2145998) (NA)",1
"794","Height (Conditioned on rs227724) (NA)",1
"795","Height (Conditioned on rs2780226) (NA)",1
"796","Height (Conditioned on rs3791675) (NA)",1
"797","Height (Conditioned on rs5742915) (NA)",1
"798","Height (Conditioned on rs6449353) (NA)",1
"799","Height (Conditioned on rs7689420) (NA)",1
"800","Height (males) (males)",14
"801","Height (NA)",59
"802","Height (% s.d. increase) (% s.d. increase)",12
"803","Height (s.d. increase) (s.d. increase)",6
"804","Height (unit increase) (unit increase)",418
"805","Helicobacter pylori serologic status (NA)",2
"806","Hematocrit (% increase)",8
"807","Hematological and biochemical traits (ALB) (unit increase)",1
"808","Hematological and biochemical traits (ALP) (unit increase)",4
"809","Hematological and biochemical traits (ALT) (unit increase)",2
"810","Hematological and biochemical traits (AST) (unit increase)",1
"811","Hematological and biochemical traits (BUN) (unit increase)",3
"812","Hematological and biochemical traits (CK) (unit increase)",1
"813","Hematological and biochemical traits (GGT) (unit increase)",2
"814","Hematological and biochemical traits (Hb) (unit increase)",1
"815","Hematological and biochemical traits (HDL) (unit increase)",3
"816","Hematological and biochemical traits (Ht) (unit increase)",1
"817","Hematological and biochemical traits (sCr) (unit increase)",1
"818","Hematological and biochemical traits (TP) (unit increase)",2
"819","Hematological parameters (10^12/l increase) (10^12/l increase)",1
"820","Hematological parameters (10^9/l increase) (PLT) (10^9/l increase)",3
"821","Hematological parameters (10^9/l increase) (WBC) (10^9/l increase)",1
"822","Hematological parameters (fl increase) (fl increase)",4
"823","Hematological parameters (pg increase) (pg increase)",1
"824","Hematology traits (s.d. increase) (MCH) (s.d. increase)",1
"825","Hematology traits (s.d. increase) (MCV) (s.d. increase)",2
"826","Hematology traits (s.d. increase) (PLT) (s.d. increase)",1
"827","Hematology traits (unit increase) (AA, HCT) (unit increase)",1
"828","Hematology traits (unit increase) (AA, RBC) (unit increase)",2
"829","Hematology traits (unit increase) (AA, WBC) (unit increase)",1
"830","Hematology traits (unit increase) (ALB/GLB) (unit increase)",2
"831","Hematology traits (unit increase) (EA, WBC) (unit increase)",1
"832","Hematology traits (unit increase) (HGB) (unit increase)",1
"833","Hematology traits (unit increase) (RBC) (unit increase)",1
"834","Hematology traits (unit increase) (WBC) (unit increase)",1
"835","Hemoglobin A2 levels in sickle cell anemia (NA)",1
"836","Hemoglobin (g/dl increase) (g/dl increase)",7
"837","Hemoglobin (NA)",1
"838","Hemostatic factors and hematological phenotypes (unit increase) (unit increase)",1
"839","Hepatitis B (NA)",7
"840","Hepatitis B vaccine response (NA)",4
"841","Hepatitis B (viral clearance) (Protective effects against CHB) (NA)",2
"842","Hepatitis C induced liver cirrhosis (NA)",5
"843","Hepatitis C induced liver fibrosis (Duration F0-1/F3-4, transfused) (NA)",1
"844","Hepatitis C induced liver fibrosis (QTF) (NA)",1
"845","Hepatitis (NA)",8
"846","Hepatocellular carcinoma (hepatitis B virus related) (NA)",2
"847","Hepatocellular carcinoma (NA)",5
"848","Hepcidin levels (Iron) (ng/ml increase)",1
"849","Hepcidin levels (Tf) (ng/ml increase)",1
"850","Hepcidin levels (Tf Sat) (ng/ml increase)",1
"851","Hereditary hemochromatosis-related traits (HFE mutation homozygotes) (Trasferrin) (unit increase)",1
"852","High serum lipase activity (NA)",1
"853","Hip circumference (psychosocial stress interaction) (EA) (NA)",1
"854","Hippocampal atrophy (Hippocampal volume) (NA)",2
"855","Hippocampal sclerosis of aging (NA)",1
"856","Hippocampal volume (mm3 increase) (mm3 increase)",3
"857","Hirschsprung disease (NA)",3
"858","HIV-1 control (AA) (NA)",4
"859","HIV-1 control (EA) (NA)",3
"860","HIV-1 control (% increase) (% increase)",1
"861","HIV-1 control (progression) (NA)",1
"862","HIV-1 susceptibility (NA)",1
"863","Hodgkin's lymphoma (EBV-negative cHL) (NA)",1
"864","Hodgkin's lymphoma (NA)",8
"865","Hodgkin's lymphoma (Total cHL) (NA)",2
"866","Homeostasis model assessment of beta-cell function (interaction) (n-6 PUFA) (NA)",2
"867","Homeostasis model assessment of insulin resistance (interaction) (Carbohydrate) (NA)",2
"868","Homoarginine levels (unit increase)",1
"869","Homocysteine levels (unit increase)",17
"870","Homocysteine levels (WGHS) (unit increase)",1
"871","Hormone measurements (unit increase) (Oestradiol) (unit increase)",2
"872","Hormone measurements (unit increase) (SHBG) (unit increase)",1
"873","HPV seropositivity (NA)",1
"874","Hyperopia (NA)",2
"875","Hypertension (log odds increase) (log odds increase)",1
"876","Hypertension (NA)",8
"877","Hypertension risk in short sleep duration (NA)",1
"878","Hypertension (unit increase) (unit increase)",6
"879","Hypertriglyceridemia (NA)",4
"880","Hypospadias (NA)",19
"881","Hypothyroidism (eMERGE) (NA)",1
"882","Hypothyroidism (NA)",5
"883","Idiopathic membranous nephropathy (NA)",20
"884","Idiopathic pulmonary fibrosis (NA)",5
"885","IFN-related cytopenia (NA)",1
"886","IgA nephropathy (EA) (NA)",1
"887","IgA nephropathy (East Asian) (NA)",1
"888","IgA nephropathy (NA)",19
"889","IgE grass sensitization (NA)",3
"890","IgE levels (% increase) (% increase)",1
"891","IgE levels (unit increase) (unit increase)",9
"892","IgG glycosylation (IGP14) (unit increase)",1
"893","IgG glycosylation (IGP17) (unit increase)",1
"894","IgG glycosylation (IGP23) (unit increase)",1
"895","IgG glycosylation (IGP26) (unit increase)",1
"896","IgG glycosylation (IGP29) (unit increase)",2
"897","IgG glycosylation (IGP2) (unit increase)",1
"898","IgG glycosylation (IGP31) (unit increase)",1
"899","IgG glycosylation (IGP38) (unit increase)",1
"900","IgG glycosylation (IGP39) (unit increase)",1
"901","IgG glycosylation (IGP40) (unit increase)",2
"902","IgG glycosylation (IGP41) (unit increase)",2
"903","IgG glycosylation (IGP42) (unit increase)",2
"904","IgG glycosylation (IGP53) (unit increase)",2
"905","IgG glycosylation (IGP59) (unit increase)",1
"906","IgG glycosylation (IGP63) (unit increase)",1
"907","IgG glycosylation (IGP67) (unit increase)",1
"908","IgG glycosylation (IGP69) (unit increase)",1
"909","IgG glycosylation (IGP70) (unit increase)",1
"910","IgG glycosylation (IGP72) (unit increase)",1
"911","IgG glycosylation (IGP7) (unit increase)",1
"912","IgG levels (NA)",1
"913","IgG levels (unit increase) (unit increase)",1
"914","IgM levels (NA)",1
"915","Immune reponse to smallpox (secreted IFN-alpha) (AA) (NA)",13
"916","Immune reponse to smallpox (secreted IFN-alpha) (EA) (NA)",4
"917","Immune reponse to smallpox (secreted IL-10) (AA) (NA)",3
"918","Immune reponse to smallpox (secreted IL-12p40) (EA) (NA)",4
"919","Immune reponse to smallpox (secreted IL-1beta) (AA) (NA)",3
